VIN,Registration Date,Expiration Date,Registration State,Title Number
1HGBH41JXMN109186,2022-01-15,2024-01-15,IL,1234567890
1HGCM82633A123456,2021-06-10,2023-06-10,IL,0987654321
1FTFW1ET0EKF12345,2022-03-25,2024-03-25,IL,1122334455
1FTEW1EP3JKF12345,2021-12-01,2023-12-01,IL,5566778899
5YJ3E1EA5MF123456,2022-07-30,2024-07-30,IL,6677889900
5YJ3E1EA7MF123456,2021-11-15,2023-11-15,IL,8899001122
1C4RJFAG2FC123456,2022-05-05,2024-05-05,IL,2233445566
1C4RJFAG8LC123456,2021-09-20,2023-09-20,IL,3344556677
WA1BNAFY8N1000000,2022-04-10,2024-04-10,IL,4455667788
WA1LNAFY6L1010000,2021-08-25,2023-08-25,IL,5566778899
